Date Time Episode Position Velocity Control Alpha Rho K 
14-02-2021 15:47:55: 0 -2.1822679844799193 7.0496037327730745 3.0 8.238748 38.274067 34.59293
14-02-2021 15:47:55: 0 -2.112833811956267 6.830329842963066 3.0 6.1513205 40.616096 35.562664
14-02-2021 15:47:55: 0 -2.0457880107522426 6.573063082996328 3.0 3.94512 42.883778 36.18802
14-02-2021 15:47:55: 0 -1.9814768877844804 6.28448344990006 3.0 1.9152712 44.662548 36.529644
14-02-2021 15:47:55: 0 -1.9201815455747315 5.97092667623699 3.0 0.42536473 46.93939 35.900204
14-02-2021 15:47:55: 0 -1.862122012625325 5.638253362379016 3.0 0.79830813 48.838062 35.10477
14-02-2021 15:47:55: 0 -1.8074624834657564 5.291757680433546 3.0 1.8483796 50.208576 34.276993
14-02-2021 15:47:55: 0 -1.7563172838293628 4.936113016327889 3.0 2.834736 51.033344 33.204124
14-02-2021 15:47:56: 0 -1.708757213186808 4.57534998090103 3.0 3.681699 51.52933 32.10899
14-02-2021 15:47:56: 0 -1.6648159685684583 4.212861154664936 3.0 4.2694693 51.697857 30.955374
14-02-2021 15:47:56: 0 -1.6244964121330856 3.851426605844952 3.0 4.3676434 51.348354 29.950232
14-02-2021 15:47:56: 0 -1.5877765037521252 3.4932544572138564 3.0 4.436082 50.37982 29.090792
14-02-2021 15:47:56: 0 -1.5546147743190621 3.140031385138397 3.0 5.1228075 49.77436 28.325176
14-02-2021 15:47:56: 0 -1.5249552627120133 2.792978745204759 3.0 5.189579 48.888443 27.211805
14-02-2021 15:47:56: 0 -1.4987318780062422 2.452910898712934 3.0 5.0657263 47.800133 26.12739
14-02-2021 15:47:56: 0 -1.4758721784702962 2.1202931680349058 3.0 4.769068 46.362713 25.17477
14-02-2021 15:47:56: 0 -1.4563005806713178 1.7952976168911507 3.0 3.2777479 41.930042 24.415367
14-02-2021 15:47:56: 0 -1.4399410266913275 1.4778555036098544 3.0 3.8391912 38.60768 23.271708
14-02-2021 15:47:56: 0 -1.4267191462377653 1.1677057821927876 3.0 6.706626 36.561115 20.997486
14-02-2021 15:47:56: 0 -1.4165639545562811 0.864439432227524 3.0 10.154238 35.06203 18.068796
14-02-2021 15:47:56: 0 -1.4094091276683525 0.5675396969848502 3.0 15.403181 34.4899 15.72552
14-02-2021 15:47:56: 0 -1.405193894561041 0.2764185155209135 3.0 20.87674 34.4183 13.559088
14-02-2021 15:47:56: 0 -1.4038635823858154 -0.009550434184804085 3.0 25.691383 34.605286 11.569468
14-02-2021 15:47:56: 0 -1.4053698461532296 -0.2910015929288646 3.0 29.832043 34.747513 9.973465
14-02-2021 15:47:56: 0 -1.4096706093753149 -0.5685497669280712 3.0 33.374897 34.712387 8.585474
14-02-2021 15:47:56: 0 -1.4167297370285699 -0.8427642650256667 3.0 36.231495 34.649113 7.4075522
14-02-2021 15:47:56: 0 -1.426516457421224 -1.114144471507961 3.0 38.600353 34.736427 6.4500093
14-02-2021 15:47:56: 0 -1.4390045453217004 -1.3830964680054618 3.0 40.607445 35.097775 5.674645
14-02-2021 15:47:56: 0 -1.4541712752748577 -1.649910408451495 3.0 42.6339 36.052208 4.973833
14-02-2021 15:47:56: 0 -1.4719961516111102 -1.9147384622114465 3.0 44.811874 37.696053 4.5094953
14-02-2021 15:47:56: 0 -1.4924594204442414 -2.1775732717408864 3.0 46.436127 39.19408 4.11474
14-02-2021 15:47:56: 0 -1.515540369156211 -2.4382270221699667 3.0 47.98214 40.905857 3.6945653
14-02-2021 15:47:56: 0 -1.5412154206760658 -2.6963113902037623 3.0 48.948364 42.23942 3.4441054
14-02-2021 15:47:56: 0 -1.569456033455097 -2.9512188264617634 3.0 48.925068 42.85693 3.463186
14-02-2021 15:47:56: 0 -1.6002264235689951 -3.20210582436219 3.0 47.900356 42.354313 3.4264023
14-02-2021 15:47:56: 0 -1.6334811329268986 -3.4478790321917576 3.0 46.56782 41.77212 3.4044297
14-02-2021 15:47:56: 0 -1.6691624771274718 -3.687185261352029 3.0 44.582195 40.85819 3.277323
14-02-2021 15:47:56: 0 -1.7071979179237644 -3.918406616575657 3.0 42.468224 40.152813 3.3440907
14-02-2021 15:47:56: 0 -1.747497418204496 -4.139662102055791 3.0 39.761192 39.266373 3.3882296
14-02-2021 15:47:56: 0 -1.7899508512997757 -4.348817115715607 3.0 36.60606 37.686386 2.834553
14-02-2021 15:47:56: 0 -1.8344255504382803 -4.543502204587888 3.0 33.13821 35.387234 2.0473104
14-02-2021 15:47:56: 0 -1.8807640972068373 -4.72114229022644 3.0 29.399714 32.74902 1.1795702
