Date Time Episode Position Velocity Control Alpha Rho K 
12-02-2021 16:52:47: 0 0.4461555978038665 -1.6066313008133144 -1.5971721145563476 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.43038841857968446 -1.5497786581045836 -1.5445262896090317 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.4151791488246439 -1.4949635326227981 -1.4933451332937022 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.40050781540185065 -1.4421066653661847 -1.4436190513383642 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.3863552160727637 -1.3911332735128952 -1.3953340175315985 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.3727028773529897 -1.3419725064723609 -1.348472351788335 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.3595330172533906 -1.2945570145543226 -1.303013365707213 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.34682851192304653 -1.2488226016567805 -1.2589339048984745 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.3345728654553195 -1.2047079416022348 -1.2162088088177363 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.3227501822940271 -1.162154343325193 -1.1748113032870937 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.3113451418053259 -1.1211055539798687 -1.1347133371686369 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.3003429746765276 -1.0815075917784431 -1.0958858720886655 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.2897294408750253 -1.0433086023523919 -1.0582991322796882 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.27949080895535383 -1.0064587338857542 -1.0219228202635287 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.2696138365444951 -0.9709100273540393 -0.9867263030848091 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.26008575186815674 -0.9366163190192165 -0.9526787730224624 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.250894236206177 -0.903533152951997 -0.9197493860916748 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.24202740718514004 -0.8716177018280221 -0.8879073811559407 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.2334738028320258 -0.8408286946110792 -0.8571221820686947 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.22522236632519688 -0.8111263500207381 -0.8273634849341052 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.21726243138896173 -0.7824723149034144 -0.7986013323015513 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.20958370828592976 -0.7548296067993968 -0.7708061758769557 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.20217627036779717 -0.7281625601349349 -0.7439489291373969 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.19503054115037433 -0.7024367755763158 -0.7180010110666458 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.188137281882923 -0.6776190721682631 -0.6929343820845022 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.18148757958529282 -0.6536774419470435 -0.6687215731161384 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.17507283552922637 -0.6305810067727979 -0.6453357086385334 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.16888475414252557 -0.6082999771691254 -0.6227505244442851 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.16291533231675315 -0.5868056129926994 -0.6009403807791165 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.1571568491007853 -0.5660701857838096 -0.5798802714348108 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.15160185576391738 -0.5460669426713723 -0.5595458293135432 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.14624316621341338 -0.526770071724295 -0.5399133289214837 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.14107384775240828 -0.5081546686559972 -0.5209596861979853 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.136087212164949 -0.4901967048010676 -0.5026624560407785 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.13127680711573753 -0.472872996292964 -0.48499982784703943 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.1266364078528044 -0.45616117437987286 -0.4679506193537365 4.5 2.85 0.3185
12-02-2021 16:52:48: 0 0.12216000920195746 -0.44003965682254265 -0.45149426902868206 4.5 2.85 0.3185
