14-02-2021 15:32:23: Start!
Date Time Episode Position Velocity Control 
14-02-2021 15:32:24: 0 0.07171728662914179 0.004867608127076692 -0.28761977
14-02-2021 15:32:24: 0 0.07176478207674464 0.004641449645969899 -0.28840473
14-02-2021 15:32:24: 0 0.07180946690679546 0.004305223575658099 -0.28897756
14-02-2021 15:32:24: 0 0.07185047946522838 0.003906437814268371 -0.2893811
14-02-2021 15:32:24: 0 0.07188736884713709 0.0034798492619443435 -0.28965366
14-02-2021 15:32:24: 0 0.07191998398222177 0.0030507522726051436 -0.28982452
14-02-2021 15:32:24: 0 0.07194838730351183 0.0026366161051139944 -0.28991884
14-02-2021 15:32:24: 0 0.07197278532333007 0.0022488319610196868 -0.289957
14-02-2021 15:32:24: 0 0.07199347559613312 0.0018942471222790378 -0.28995487
14-02-2021 15:32:24: 0 0.07201080752262135 0.0015764025863392681 -0.2899247
14-02-2021 15:32:24: 0 0.07202515242015206 0.0012961521663812303 -0.28987694
14-02-2021 15:32:24: 0 0.07203688176207601 0.0010526777325489311 -0.2898187
14-02-2021 15:32:24: 0 0.07204635353969557 0.00084410116925768 -0.28975514
14-02-2021 15:32:24: 0 0.07205390208478102 0.0006675666247703744 -0.28969106
14-02-2021 15:32:24: 0 0.0720598321997068 0.0005200187799942134 -0.2896286
14-02-2021 15:32:24: 0 0.07206441686928278 0.00039814385527803774 -0.28956994
14-02-2021 15:32:24: 0 0.07206789665172764 0.00029876355658602625 -0.28951585
14-02-2021 15:32:24: 0 0.07207048022078233 0.00021867306610164636 -0.28946748
14-02-2021 15:32:24: 0 0.07207234571114052 0.00015496258400016455 -0.28942478
14-02-2021 15:32:24: 0 0.07207364386547255 0.00010505721172957362 -0.2893874
14-02-2021 15:32:24: 0 0.07207450093902157 6.662887659298831e-05 -0.28935522
14-02-2021 15:32:24: 0 0.07207502092115314 3.7547557155953194e-05 -0.28932813
14-02-2021 15:32:24: 0 0.07207528842467159 1.6063129888732018e-05 -0.28930533
14-02-2021 15:32:24: 0 0.07207537169046452 6.475151911433649e-07 -0.28928646
14-02-2021 15:32:24: 0 0.07207532478583545 -1.0009300058546034e-05 -0.28927112
14-02-2021 15:32:24: 0 0.072075189732423 -1.7009365097674565e-05 -0.28925884
14-02-2021 15:32:24: 0 0.072074998721543 -2.1219260702076353e-05 -0.28924903
14-02-2021 15:32:24: 0 0.07207477687894626 -2.3187759254473007e-05 -0.28924078
14-02-2021 15:32:24: 0 0.0720745424896263 -2.3734866010611076e-05 -0.28923512
14-02-2021 15:32:24: 0 0.0720743090824465 -2.2994567266133522e-05 -0.2892298
14-02-2021 15:32:24: 0 0.07207408577858088 -2.1713651157814155e-05 -0.289227
14-02-2021 15:32:24: 0 0.07207387766069528 -1.9955647631815568e-05 -0.28922445
14-02-2021 15:32:24: 0 0.07207368815805593 -1.7987491115879405e-05 -0.28922284
14-02-2021 15:32:24: 0 0.07207351898716041 -1.588564579725909e-05 -0.28922155
